20160606	7	52	O	33	7
20160607	4	88	SE	6	0
20160608	3,7	77	ONO	46	15,8
20160609	-0,3	96	ESE	15	0
20160610	-0,9	92	ESE	17	16,1
20160611	-2,6	78	S	9	4
20160612	2,6	74	O	22	0
20160613	-2,6	85	SE	16	0
20160614	-5,6	80	SE	5	0
20160615	-1,4	74	NO	5	0
20160616	8	79	O	33	0
20160617	12,2	68	NO	51	0
20160618	12,3	73	ONO	26	0
20160619	3,8	91	O	21	2,8
20160620	2,8	61	ONO	39	6,5
20160621	6,3	61	O	38	4
20160622	6,6	78	O	35	1,5
20160623	3,4	67	ONO	20	0
20160624	4,2	38	ONO	28	0
20160625	6,1	61	ONO	53	0,3
20160626	6,2	57	ONO	34	31
20160627	4,8	73	NO	38	17,9
20160628	6,1	65	NO	38	4,4
20160629	4,8	91	ONO	32	0
20160630	2,3	91	SE	18	43
20160701	0,4	96	0	0	17
20160702	-2,7	62	E	11	1
20160703	-1,5	64	E	18	0
20160704	-0,7	79	SE	13	0
20160705	1,4	79	E	11	0,8
20160706	2,7	86	SE	13	0
20160707	3,6	84	0	0	0
20160708	1,3	86	SE	13	0
20160709	-1,6	82	S	7	0
20160710	3,4	79	NO	1	0
20160711	12,9	77	NO	7	0
20160712	5,3	95	NO	5	10
20160713	7,2	92	O	9	20
20160714	5,31	81	NO	31	33
20160715	3	82	Variable	3	0
20160716	3,6	81	Variable	3	0
20160717	0,8	82	0	0	0
20160718	1,8	83	SE	9	0
20160719	2,3	70	SE	24	0
20160720	4,3	65	ONO	33	0
20160721	5,3	78	ONO	26	0
20160722	0	73	O	19	25
20160723	1,6	72	SE	1	0
20160724	3,5	48	SE	11	0
20160725	0,6	73	0	0	0
20160726	2,8	71	ESE	15	0
20160727	3,4	73	SE	5	0
20160728	4,5	60	NO	20	0
20160729	6,2	69	NO	33	0
20160730	4,3	47	O	37	0
20160731	2,4	64	0	0	0
20160801	3,3	70	Variable	3	0
20160802	3,6	57	Variable	3	0
20160803	5,4	68	NO	42	1
20160804	8	66	NO	50	0
20160805	8,9	83	O	35	16,4
20160806	4,4	86	O	25	9
20160807	5,3	65	NO	31	8
20160808	4,7	63	SE	18	0
20160809	5,7	63	S	7	0
20160810	3,7	82	S	5	0
20160811	5,8	67	0	0	0
20160812	5,8	67	0	0	0
20160813	6,8	80	O	11	0
20160814	6,9	65	O	33	0
20160815	4,6	57	ONO	18	0
20160816	5,4	59	0	0	0
20160817	7,4	68	NO	38	0
20160818	10,2	58	O	33	0
20160819	3,9	47	O	30	3
20160820	2,4	54	SE	6	0,3
20160821	5,7	35	ESE	20	0
20160822	4	60	Variable	3	0
20160823	11,5	29	NNO	17	0
20160824	3,8	78	ONO	21	11
20160825	2,9	55	ONO	33	0
20160826	6,9	77	ONO	43	0
20160827	12,9	58	ONO	36	0,2
20160828	11,1	63	O	46	0
20160829	8,3	63	O	50	0
20160830	5,1	82	O	7	4
20160831	5,1	47	E	14	
20160901	2,5	70	NE	5	0
